GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
java-code-assignment,com.warehouse.api.beans,Warehouse,4,34,0,0,2,14,1,10,1,10
java-code-assignment,com.warehouse.api.beans,WarehouseSearchResult,0,43,0,0,0,17,0,11,0,11
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.models,Location,0,12,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.models,WarehousePage,0,18,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.models,Warehouse,0,3,0,0,0,1,0,1,0,1
java-code-assignment,com.fulfilment.application.monolith.products,ProductResource.ErrorMapper,0,48,1,3,0,11,1,3,0,2
java-code-assignment,com.fulfilment.application.monolith.products,ProductRepository,3,0,0,0,1,0,1,0,1,0
java-code-assignment,com.fulfilment.application.monolith.products,Product,9,0,0,0,4,0,2,0,2,0
java-code-assignment,com.fulfilment.application.monolith.products,ProductResource,122,0,10,0,27,0,12,0,7,0
java-code-assignment,com.fulfilment.application.monolith.location,LocationGateway,0,95,0,0,0,15,0,4,0,4
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,DbWarehouse,33,0,0,0,9,0,2,0,2,0
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.database,WarehouseRepository,217,0,16,0,45,0,15,0,7,0
java-code-assignment,com.fulfilment.application.monolith.stores,StoreResource,158,0,18,0,37,0,17,0,8,0
java-code-assignment,com.fulfilment.application.monolith.stores,StoreResource.ErrorMapper,48,0,4,0,11,0,4,0,2,0
java-code-assignment,com.fulfilment.application.monolith.stores,StoreUpdatedEvent,0,9,0,0,0,4,0,2,0,2
java-code-assignment,com.fulfilment.application.monolith.stores,StoreCreatedEvent,0,9,0,0,0,4,0,2,0,2
java-code-assignment,com.fulfilment.application.monolith.stores,LegacyStoreManagerGateway,59,0,0,0,20,0,4,0,4,0
java-code-assignment,com.fulfilment.application.monolith.stores,Store,9,0,0,0,4,0,2,0,2,0
java-code-assignment,com.fulfilment.application.monolith.stores,StoreEventObserver,34,0,0,0,8,0,4,0,4,0
java-code-assignment,com.fulfilment.application.monolith.warehouses.adapters.restapi,WarehouseResourceImpl,13,284,5,23,2,65,5,17,0,8
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,ArchiveWarehouseUseCase,0,39,0,4,0,13,0,4,0,2
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,CreateWarehouseUseCase,1,146,2,14,0,35,2,10,0,4
java-code-assignment,com.fulfilment.application.monolith.warehouses.domain.usecases,ReplaceWarehouseUseCase,1,171,3,17,0,41,3,11,0,4
